States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3864.29,3037.14,3262.86,6564.29,8628.57,8785.71,8421.43,5928.57,3685.71,,15087.29,12967.0,7821.14,,10103.43,7217.0,4585.71,,1485.71,1914.29,3814.29,2028.57,2019-10-01,1
Tamil Nadu,2783.0,2704.0,2550.0,12580.0,10380.0,10740.0,6720.0,6600.0,3898.0,,15137.4,,8445.6,,9098.0,6799.8,4670.0,,1540.0,1840.0,1140.0,900.0,2016-11-01,2
Tamil Nadu,3330.0,2692.0,2670.0,7200.0,6180.0,7260.0,6450.0,5150.0,4040.0,,13852.6,,8534.8,,8674.8,6765.2,5400.0,,1510.0,1520.0,3100.0,3620.0,2017-11-01,2
Tamil Nadu,3075.0,2900.0,2860.0,5800.0,6350.0,7300.0,7075.0,5222.5,3565.0,,13769.0,,8978.0,,9695.33,7594.25,4525.0,,1537.5,2587.5,1800.0,1050.0,2018-11-01,2
Tamil Nadu,3883.33,3022.22,3280.0,6544.44,8666.67,9855.56,8466.67,5900.0,3621.11,2800.0,14856.33,13076.5,8020.0,9700.0,10027.11,7203.89,4644.44,36000.0,1444.44,2322.22,3888.89,2566.67,2019-11-01,2
Tamil Nadu,2902.0,2764.0,2562.5,12180.0,9860.0,10130.0,6430.0,6500.0,3926.0,,14698.0,,8489.6,,9120.0,6943.6,4542.0,,1540.0,1720.0,1240.0,720.0,2016-12-01,2
Tamil Nadu,3278.0,2712.0,2605.0,6620.0,6100.0,6620.0,6410.0,4950.0,4018.0,,13522.8,,8644.6,,9004.0,7147.8,4880.0,,1510.0,1540.0,4380.0,2180.0,2017-12-01,2
Tamil Nadu,3150.0,2937.5,2860.0,6475.0,6725.0,7950.0,7350.0,5300.0,3387.5,,13657.0,,8678.25,,9739.25,7090.5,4454.25,,1530.0,2075.0,1350.0,925.0,2018-12-01,2
Tamil Nadu,3914.29,3137.14,2984.29,6528.57,8928.57,11757.14,9100.0,6083.33,3608.57,,14907.57,12967.0,8198.43,,10072.57,7889.14,4671.43,,1492.86,2314.29,7857.14,1785.71,2019-12-01,2
Tamil Nadu,2753.75,2800.0,2372.33,6500.0,14500.0,15125.0,9950.0,8400.0,3165.0,,12269.75,,7686.5,,9011.5,5691.25,3768.75,,1490.0,1725.0,1900.0,2675.0,2016-01-02,2
Tamil Nadu,3185.0,2804.0,2582.5,12180.0,8200.0,9490.0,6400.0,6200.0,3918.0,,14378.8,,8379.8,,9132.0,7186.0,4553.0,,1540.0,1540.0,1240.0,740.0,2017-01-02,2
Tamil Nadu,3360.0,2696.0,2505.0,6440.0,6270.0,6680.0,6537.5,5000.0,3764.0,,12973.4,,8762.6,,8960.2,7067.2,4800.0,,1500.0,1400.0,3720.0,660.0,2018-01-02,2
Tamil Nadu,3100.0,3000.0,3084.0,6440.0,6940.0,7810.0,7340.0,5280.0,3390.0,,14161.2,,8238.4,,9516.2,6875.4,4460.0,,1542.0,1940.0,1200.0,1500.0,2019-01-02,2
Tamil Nadu,2631.0,2750.0,2336.75,6120.0,12500.0,13840.0,9040.0,6900.0,3424.0,,12068.0,,7820.4,,8890.8,5695.8,3895.0,,1510.0,1600.0,1520.0,760.0,2016-02-02,3
Tamil Nadu,3302.0,2836.0,2572.5,9360.0,6980.0,9230.0,6280.0,5750.0,4190.0,,13888.2,,8600.4,,9132.0,7273.8,4606.0,,1550.0,1460.0,1160.0,1960.0,2017-02-02,3
Tamil Nadu,3301.0,2736.0,2555.0,5940.0,6320.0,6600.0,6650.0,5100.0,3574.0,,12775.4,,8784.6,,8982.2,7005.6,4820.0,,1500.0,1325.0,2380.0,580.0,2018-02-02,3
Tamil Nadu,2987.5,2925.0,2862.5,6325.0,8150.0,7625.0,7700.0,5825.0,3382.5,,13548.0,,8397.5,,9335.0,7187.25,4491.75,,1530.0,1875.0,1050.0,1075.0,2019-02-02,3
